question,instruction,reference_response
"I have had a hard tumor like on my gums for a very long time. It grows big and pus comes out, now I notice my throat area is all red, and it gets quite large I n my upper right gum, pus leaks constantly. I am very concerned as now I am seeing changes I n the back of throat that does not look normal.Also my white blood count is very low, as well as Neutrophils is very low? 10 years now, never worried until I ve seen changes I n back of throat, coughing, coughing up mucus constantly.I did not realize I had to pay, should ve known.","If you are a doctor, please answer the medical questions based on the patient's description.","Hello, I read your problem, as you gave the detail it seems that this is because low white blood cells count, because in case of low white blood cells count immunity gets lower, and the body is more prone to infections and in the oral mucous membrane become necroses and gums and supporting structures destroy very rapidly. So I will suggest you please go to your physician as soon as possible and go for complete check up including complete blood count., and please take a proper treatment. After the treatment of this problem, visit to your dentist and take a proper dental treatment accordingly including scaling. Nothing to get worried, you will recover very soon. Take care Chat Doctor."
"I am a 57 tall, 214 pound, 39 yr old women, my BP is normal, recently Ive been getting dizzy when I look up, when I bend down to tie my shoes, and when I  put my head on the pillow to go to sleep and when I get up in the morning.  Its really bad when I am in bed because I feel thowing up, and even thow I close my eye I still feel the dizzyness","If you are a doctor, please answer the medical questions based on the patient's description.","Dear user, Thank you for your question, there are two possibilities here that from your description I cant decide which one to talk about but I will tell you about both, either vertigo and here you feel the world spins around you and this could be due to middle ear problems. Or orthostatic hypotension meaning you feel dizzy when your blood pressure suddenly changes due to abrupt movements like getting up from bed. Nevertheless if this persists refer to your doctor. Hope this was informative enough please rate as 5 if you think so. Best regards,"
"hi Doctor, i have a questions to ask. i have a lump on the left side of my labia minora lower side. it hurts when i touch and wipe when i pee. it started last week with small and i thought it is pimple so i think it will go away soon. but it is bigger than last week and i am so worried. can you help what is this?","If you are a doctor, please answer the medical questions based on the patient's description.","Hi, dairy have gone through your question. I can understand your concern. You may have some benign cyst. It's common to have benign cyst. You may have some soft tissue tumor. You need examination for exact site, size and nature of lesion. It will help to reach the correct diagnosis. Then you should take treatment accordingly. Hope I have answered your question. If you have any doubts then feel free to ask me. Thanks for using Chat Doctor. Wish you a very good health."
Have lower back pain and upper abdominal ache urine has turned dark yellow have been taken a laxative for the last couple of days and some hydrocodone for arteitis all meds by script except m magnesia over counter concerned that pain was really bad 2nights ago has gone down a little but still uncomfortable especially upper right side,"If you are a doctor, please answer the medical questions based on the patient's description.","Hello I have studied your case, You are having gastric upset I will advise starting antacids [proton pump inhibitors like] omeprazole 20 mg twice a day. Sucralfate will protect gastric mucosa and will give protective covering. If not relieved you may need to do USG abdomen. Pain may also from renal or policy pain. Hope this answers your query. If you have additional questions or follow-up queries then please do not hesitate in writing to us. I will be happy to answer your queries. Wishing you good health. Take care"
My 2 month old girl passes wind that smells... Last night she was hysterical with pain and very rigid for 40 mins... she is very placid normally.. I called the doctor and they said it could be twisted gut..what does this mean...i could not pacify her..very frightening,"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Welcome to the ChatDoctorFirst of all I would like to know does pain increase in the evening time, does she become so much cranky in the night. If yes then it could be because of wind (gas)in the stomach. You may first get ultrasound abdomen done to rule out twisted gut (which seems less likely) or any other cause of pain.Otherwise, it is take at least 6 months to get her intestine mature and without gas. You may also give her Chat Doctor."
"My daughter had a nervous breakdown recently,. she was under a lot of stress, has had depression in the past, and added to this was a lot of anxiety. she is on several potent drugs. I feel she is over medicated. she has gained 50 lbs, since being on the drugs. Is it necessary for her to be on prozac, seroquel, ativan, neurontin (which she is weaning herself from) and a couple of others? why would she need to be on so many of these mind altering meds? this episode took place in Aug. with 2 additional episodes after August. she s also in group tx. and one on one tx.","If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Welcome to Chat Doctor forum.  She needs to have council ling, and she should have love and affection, as others get. She should be included in your family issues as far as possible.  Furthermore, she must have an occupation, like cooking, and household works with some guidance.  With these guidelines, she can vein off the Chat Doctor.  No psychological patient can improve health without the surrounding peoples help.  Let her practice yoga, meditation, reading books, and hearing music, to have weight reduction and diversion from her imaginary surroundings.  Give her more of green leafy vegetables, pulses, sprouts, and protein rich foods to improve her general health.  Wishing for a quick and complete recovery. Thank you."
"Dear doctor, am a 37 year old single working parent of two daughters of 9 and 5 years age. hail from a very dysfunctional family of abusive mother and non existent father, brothers who have been dependent on me for years. amde one of them study and got him a job etc. when my marriage failed i stayed with them for 6 months and soon realised have no future here, moved to pune with my daughters and by gods grace was able to carve a fresh life and job etc for me n daughters...have requested my parents to stay with me as working and looking after daughters is not easy...now my problem is that i cant stand my family...they steal from me especially my mother, totally they depend on me for everything, instead of helping me out, they are becoming a liablity on me...my mother is chronically deprrssed i think coz sh eis hooked oto TV serials big time and she laughs and cries with them..eats n sleeps there infront of TV. if i let them go..i find it difficult to manage things physically, if they are there, i find it very hard to manage things physically. this march on a family holiday, my bro and father beat me up infront of my kids coz they were rude to me and my kids and i wanted to go home..and my bro is also gng through rough marriage coz of his lying cheating ways..and all that frustrations he took it out on me..and am not able to forgive and forget and i dont want to also...that beating publically by the same people i loved and supported fo ryears has taken a big emotional toll on me..and only coz of my daughters am pulling through somehow,,,but finding it very hard day by day to keep my spirits up and its eating me from inside that my own mother and brother can steal from me and do these things for me...when am already dealing wih so much in personal and professional life...want to totally cut them off but coz of kids cant do that as well...pls help to become the strong person that i was. I find myself absolutely alone as have moved cities post separation with very abusive/alcoholoic/ controlling/cheating hubby..","If you are a doctor, please answer the medical questions based on the patient's description.","Hello...... Thanks for your query. I can understand your emotional turmoil. As you described you indeed belong to a very dysfunctional family setting. You require meeting a psychological counselor for venting out your thoughts in person. Following this interpersonal or family therapy can be attempted to modify your family roles and improve interpersonal relations. In addition, you require a thorough psychiatric evaluation and may need to be started on anti-depressants and psychotherapy (e.g. cognitive behavioral therapy) as appropriate. Hope you found the information useful. Regards Chat Doctor."
"hi, my boyfriend is having severe pains in the groin area. it alleviates when he walks. there is no swelling or redness. He does not have any fever. It is mainly in the right side but he says it originates in the lower groin area and irradiates upward, staying in the right quadrant. i can see a possible hernia , appendicitis or possible stones. Would you have a better idea?","If you are a doctor, please answer the medical questions based on the patient's description.",Hi friendWelcome to Chat Doctor Hernia can be seen or felt. Better on walking means less likelihood of Nerve or Muscle pain Absence of swelling and redness IA against local inflammation. Appendix pain starts in mid-line ad then localizes to right lower qua Chat Doctor. Stone is most likely but urinary symptoms will be there sooner or later.  A number of possibilities...!  Repeated examination / may be tests / and time will tell. Take tarnishing speedy recovery God bless Good luck
"My daughter is nine months old. she is going through teething problem, and tries to keep her fingers in her mouth very frequently. today i gave her stool sample to examinate. it shows 6-8pus cells per hpf in aggregated. i m worried. what medicines do u suggest. is my baby suffers from stomach pain also if she has pus cell. what should i feed her now. ifeed her with cerelac twice and boiled rice with veg and pulses water . and nan pro2. plz suggest.","If you are a doctor, please answer the medical questions based on the patient's description.","Hi dear welcome to the Chat Doctor, Hand to mouth hygiene to be strictly followed. Increase the intake of semisolid like DAL, rice, curd, oatmeal or anything semisolid. It should be frequent. These 6-8 Pus cells are not much significant. If there are some symptoms of stomach upset like bloating frequency, foul smelling stool. Frothy, mucoid greenish etc. then go for the stool culture sensitivity. Stool culture will guide us about the cause of infection and also the Chat Doctor. Thanks"
"Dear sir,Recently my Father-in-law(FIL) saw the Heart doc for ByPass related surgery. Doctor suggested to go for \""Ultra Sound Abdomen\"" and \""Dopler study of renal arteries\"" first as my FIL has very high BP(200/100).  \""Ultra Sound Abdomen\"" report says \""Inter Polar cyst measuring 12 MM noted in the right kidney\"" and \""Prostatomegaly\"". I am worried, what does it mean?  Your guidance is highly appreciated.Thanks In Advance","If you are a doctor, please answer the medical questions based on the patient's description.","Hello dear, Thank you for your contact to Chat Doctor. I read and understand your concern. I am Chat Doctor answering your concern. Cyst in the kidney and high blood pressure is suggestive of the damage caused by the high blood pressure. High blood pressure in the kidney can cause damage on the renal calyxes and can cause cyst. It requires surgical correction. Further management of the blood pressure can also prevent further damage to the kidney. Prostatomegaly means enlarged prostate. Enlarged prostate usually occurs with being prostatic hypertrophy. This needs to be confirmed with the PSA level in the blood. It will be higher on the carcinoma of the prostate. If its carcinoma it needs to be managed as per the malignancy. I will be happy to answer your further concern on bit.ly/ Chat Doctor. Thank you, ChatDoctorInfectious diseases specialist, ChatDoctor."
i have PCOD and to induce my periods the doc advised me to take Deviry for 10 days...today was the ninth day and i missed taking my Deviry tablet on the 8th day. I had unprotected sex for like 15 seconds and then we switched back to a condom. There was no ejaculation inside me. I also took the Deviry tablet today. Should I take an emergency contraceptive pill too?,"If you are a doctor, please answer the medical questions based on the patient's description.","Hello, Thanks for choosing Chat Doctor for posting your query. I have gone through your question in detail and I can understand what you are going through. Not needed as of now. With a 5-min unprotected sex, It's very unlikely that you become pregnant even without ejaculation. You need not take emergency pills and as the periods are due you can just wait. Hope I am able to answer your concerns. If you have any further query, I would be glad to help you. In future if you wish to contact me directly, you can use the below-mentioned link"
I have been on birth control pill for about 3months and last week when I was supposed to take placebo pills but instead I skipped them and started a new sheet. Now my period has been late by about 4days and Im starting to freak out if im pregnant or I just skipped a period. I have no spitting or bleeding whatsoever. Do I have a high chance of being pregnant?,"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, I understand your concern.  You are on contraceptive pills for last 3 months. This month also you had taken the pills without any break... only thing is instead of taking the bland pills. your straight way started with active pills of new packs.... The placebo pills are meant for getting breakthrough bleeding (which we call menses). Between two packs. But by taking new pack again you have extended the hormonal effect for one more cycle. That's why you have skipped one menstruation.  Please don't worry, if you continue with the new pack regularly, your contraceptive protection would continue. And you will get bleeding next month while you take placebo pills for 7 days.  - In case you have some doubts, you can stop taking the pills now, wait for 8 days without any pills. You would get bleeding in these days. Now, you have to throw the pack you were taking & start with a new pack on 5th day again.  Thanks."
"i am 42 male, my tricelerides was 380 brought down to 220 - Dr suggested Nebi 5 for BP & TGoal, my BP is mainly due to stress, my BP has come down now & after three months of mediciation have stopped the BP tablet - is it ok - or do i have to continue taking BP tablet for life long - Pls advsie","If you are a doctor, please answer the medical questions based on the patient's description.","Hi, dairy have gone through your question. I can understand your concern. You should not stop the tablets for blood pressure without consulting the doctor.  Even though your blood pressure came back to normal you should continue antihypertensive medicine in appropriate dose life long. Consult your doctor and take treatment accordingly. Hope I have answered your question, if you have doubt then I will be happy to answer. Thanks for using Chat Doctor. Wish you a very good health."
"i have SEVER muscle pain in lower back the muscle spasms or freezes for a few seconds every step or to. I have had sciatica for the past 32 yrs I have been off work for 13 mths just went back wed 12hr nights in health care, very strenuous job and the pain is unexplainable. I took 2 Tylenol 3 just before going in then about 2 hrs later a robaxin 750mg and nothing. I held in there for 4 hrs I dont know how, got replaced and left. To sit down after the first 3 hrs was so hard to do, it made it easier to walk out to the car. I need something better than this, I have to be able to perform my duties pain free. I have taken medication my whole life due to migraines, have been on every medication, therefore most medications I take are not low dosages, then I become afraid to take them because I dont want to become addicted to anything. I only take pills when l am in severe pain, maybe thats the problem.  I need to know what medication I can try what l can do before my next shift in a few days.   Thank you","If you are a doctor, please answer the medical questions based on the patient's description.",Welcome to Chat Doctor The Sciatica is a result of the nerve compression between the vertebra which causes the symptoms. The symptoms do not resolve until the subsidence of the inflammation and release of compression on the nerve fibers. The treatment option available are neurotransmitter block agents like Gabapentin along with painkillers and vitamin B complex. Appropriate lying position like on hard surface and physiotherapy. Consult Neurologist for better opinion. ThanksRegards
"Hi, me and my girlfriend were foolin around and I ended up ejaculating on her chest. Some semen ran down but she doesnt think she got any in her vagina. She then took a shower and got it all off. Is is possible that the water pushed the sperm into the vagina and got her pregnant? We are both virgins too","If you are a doctor, please answer the medical questions based on the patient's description.","Hello, Thanks for sharing your health concern with us. I have gone through your query and would like to offer my opinion. In the manner of sexual encounter you have described, there is no chance of any semen entering the vagina and thus, there is no chance of any pregnancy. Semen or pre-ejaculate, if deposited on the vulval region during the fertile or ovulation phase, which is two weeks prior to the onset of the next period, can cause conception. This is when protection is needed to avoid pregnancy. Hope your query has been clarified. Take care."
"My aunt who is in her 80 s is in ER now with severe pain in lower left quad--food seems to bring pain on, worse when up. Has done EGD, Colonoscopy, abd US, Cardiac stress test, liver function test, and bloodwork has all been normal (haven t got results of today s bloodwork yet). Had gallbladder removed several yrs ago, checked today to see if there were stones in Common Bile Duct--none. Help please","If you are a doctor, please answer the medical questions based on the patient's description.","Hi. Thanks for your query and an elucidated history. It is worrisome to know that all the tests you mentioned have been normal viz- EGD, Colonoscopy, ABD US, Cardiac stress test, liver function test, and blood work has all been normal-blood work once normal has not much important if done again. The pain is persistent in a lady of 80 years in spite of the negative tests. When the increasing factors are food and standing up, the most probable causes can be"
hi. i had my last period 2 months ago. all urine home tests say negative. i have now been having stomach cramps over last few days and bad lower back pain. im 44 years old and i have had a blood test for menopause whicChatDoctore back normal. my doctor says it is not menopause. could i be pregnant? my son who is 19 years never should up on home tests,"If you are a doctor, please answer the medical questions based on the patient's description.","Hallow Dear, If you have been certified by your Gynecologist after investigations that you are not having any menopausal changes as yet, you have to rule out the possibility of pregnancy first. Get your urine tested for Pregnancy. If you are not pregnant, you my take Tab. Devilry for 5 days and within 4-7 days after that you will get the menses. If you are pregnant, it can be easily terminated by medicines up to 9 weeks of gestation. These medicines have to be purchased by Obstetricians prescription. Tab. Mifepristone and Tab. Bisoprolol are very effective medicines which can terminate the pregnancy. Hope this helps you."
"hi, ive been eating blackboard chalks for the past eight months now and i doubt if its going to cause any serious issues regarding my kidneys n stuff. Im already seeing that by eating chalk, my teeth are slowly grinding. Whatls wrong with me n how do i get rid of eating chalk. Im 30, skinny my bust is almost vanished, tubal ligated mother of 3 kids","If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Eating chalk for past 8 months is an odd eating behavior that needs both physical and psychological evaluation. Many causes like iron deficiency anemia, malnutrition, obsessive compulsive disorder etc. has to be ruled out that may be the cause of this behavior.  Toxicity of substances contained in chalk has to be ruled out. It is advisable to visit your doctor at the earliest. Hope this helps, Chat Doctor."
"I got my period last week and after my period I engaged in sexual intercourse. We did use a condom but it slipped off, so I took two of the plan B pills. One week later, I started to have vaginal bleeding . This lasted for about 3 days and stopped today. But today I ve been feeling chest and stomach pains. The chest pains seem to be whats called, Heart Burn and I m wondering if this is supposed to happen? Thank you","If you are a doctor, please answer the medical questions based on the patient's description.","Welcome to Chat Doctor, Plan B pill are emergency contraceptive pills. It is normal to have vaginal bleeding after taking the pills. Many women also experience some side effect such as stomach pain, but this is subsided in a couple of days. Avoid spicy food and take tab omeprazole 20 mg before breakfast once daily for 7 days. This will reduce the stomach pain. Your menstrual cycle will become regular in 2 to 3 months. Hope that answers your question.  Chat Doctor."
"I fell backward landing on both hands and butt. I had serious pain in my right elbow and back that passed after few minutes. Mr right elbow has intense pain depending on how it moves. i don y see any bruise and my hand functions. I have been icing it for 8 hours and i still get intense pain when i move some directions. At wha point do i stop ice and see a doc. I have a high pain threshold, but when it flares i can t use my arm","If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Thanks for your query. An initial X-ray of the injured part is mandatory to rule out any bony injury (fracture). If the X-ray is negative for a fracture, then the other possibility is soft tissue injury either to the ligaments, tendons etc. The initial management for your condition is as follows -- Give adequate rest to the injured part and avoid any movements that produce pain-Apply ice wrapped in a damp towel to the injured area for 15 to 20 minutes every two to three hours during the day-Compress or bandage the injured area to limit any swelling and movement that could damage it further. You can use a cr\u00eape bandage or a simple elastic bandage - Keep the injured area raised and supported on a pillow to help reduce swelling. - Gentle massage with a painkiller cream over the injured area might be helpful If your symptoms are still persisting after the above measures, consult an orthopedic surgeon for further evaluation and management. I do hope that you have found something helpful, and I will be glad to answer any further query. Take care"
"I went to a Kidney doctor recently, had been going to one for about 5 years, but they seem to keep changing on me. This new Dr. said he wanted to lower my B.P. more, and they day I as in to see him it was a bit high 146/78 but no really that much out of line. He said he would like to see it 140/70 or less. The next day it was 131/68, and hadn t taken the prescription he recommended. However did take it a couple of days later, and my feet and ankles swelled and are still swelled, the Med was Amalodapine the dose I was on was .5 and he doubled it. I called him today, and he put me back on my regular dose, but added a new B.P. med called Spironolactone .25 mg. I have been on Lorsartin and Amalodapine for several years and it has been holding my B/P under control pretty well. Why would he want to be changing it...my thinking is if it s not broken, don t fix it, and my regular health care physician had put me on it. This is a new, young Dr. and it was my understanding that they no longer want your B/P to get to low, to you don t function well?? What is your opinion on this new med. He told me not to take my over the counter Potassium. Thanks, Betty","If you are a doctor, please answer the medical questions based on the patient's description.","Hello, Amlodipine may cause pedal edema in some individuals. So he reduced the dose. Spironolactone is a potassium sparing diuretic. It is used to reduce edema of legs. If renal function is not good means better to avoid losartan. Because it will increase serum creatinine levels. Don't worry continue as per nephrologist advice. Take care. Hope I have answered your question. Let me know if I can assist you further."
"Hi, may I answer your health queries right now ?  Please type your query here...hi i am 31 years oldi am 12 years completed in my marriage lifei need one answerri have problem in cytomegalo virusnow my test report showing more than 500 u/ml","If you are a doctor, please answer the medical questions based on the patient's description.","Hello, Welcome to Chat Doctor. I read your query and I understand your concern. Cytomegalovirus (CMV) is a common virus that can infect almost anyone. Actually, most people don't know they have CMV because it rarely causes symptoms. However, if you are planing to get pregnant or have a weakened immune system, CMV is cause for concern. Once infected with CMV, your body retains the virus for life. You do not mention any symptom, except the test report results. However, need treatment when they're having symptoms of CMV infection, such as pneumonia. The kind of treatment depends on the symptoms and their severity. If treatment is needed, its most often in the form of antiviral Chat Doctor.  Antiviral"
"Got sick after 3-4 hours after eating. Abdominal cramps, no diarhea and no vomiting but almost. Since then i have abdominal cramps when I eat ( not after but a few minutes after firs bite). 20 years ago i had something like this and had to take sulfamide to get rid of. Is it a bacteria or food poisoning or both ?","If you are a doctor, please answer the medical questions based on the patient's description.","Hi. Thanks for your query. This type of pain can occur as a reflex. Seen in case of either appendicitis, colonic problem, gastritis or gastric ulcer. You say you have a typical cramp when you eat. I would advise the following"
"Bilirubin , total=3.00mg/dl i am 47,male, my blood test results are as follows-- Bilirubin, conjugated=2.12mg/dl Bilirubin, unconjugated=0.88mg/dl SGOT =471.2IU/L SGPT =554.22IU/L Alkaline phosphatase =384.1iu/l Dr. advised to take udiliv-300 twice a day for 10 days 7 liv 52-DS. what is the cause of this? I had cosumed 2 drinks after tinidazole treatment( after 48 hrs)","If you are a doctor, please answer the medical questions based on the patient's description.",Welcome to Chat Doctor. Reports suggest that there is some inflammation of liver (Hepatitis). It is difficult to say what has caused Hepatitis. They are commonly causes due to viruses/ some medications/alcohol/gall stones etc. If you have fever/vomiting/abdominal pain - you may need sonography to rule out gallstones/cholecystitis. I feel your doctor after clinical examination must have felt that no further investigations are necessary at this stage and have advised to take this treatment.
"Hello Im about a 32 to 33 day cycle, I was to start my period on 2/13 now 7 days late...Ive had a dull lower back ace for about 2 weeks now and at night feel a little nauseous, around Jan 25 I went to ER for a kidney stone they have me anitbotics and waited for it to pass also told me I had another in my kidney but nothing yet. Ive takenamy pg test and all negative.  Would a Kidney stone or the meds be the reason for my delayed period? Ive also felt very full in my tummy region any help or suggestions would be great","If you are a doctor, please answer the medical questions based on the patient's description.","Hi, There is no relationship between renal calculi and hemorrhagic. Having period delayed up to 15 days is considered normal but other condition (physiological /pathological)cannot be denied. The symptom you had like LBP ain, nausea, urinary symptoms generally occurs in renal calculus. Generally calculus up to 5\u00a0mm size can come out through urine(as small ureteric did isms)but sometime did of 7\u00a0mm have been found to be expelled with a lot of pain.  So is it is less than 5\u00a0mm wait for Lithuania otherwise operative (ESL /PCNL)should be done. Regarding delayed period wait for 1 more week if still awaited then meet gone clinic.  Thanks n regards"
"Lips chapped on the inside as well as outside. Upper lip chapped and white inside. Had/have thrush and sore dry mouth every morning. Have scaly flaking rash on back of neck behind ear that might be impetigo or a normal skin condition like psoriasis. The lip thing is new, is it just another symptom of something, and my lips have never felt dry and chapped on the inside, mostly my lower lip chaps on outside.","If you are a doctor, please answer the medical questions based on the patient's description.","Hi, you are having colitis and xerostomia. You are having rash on nape of neck and post auricular area. Which may be either allergic or irritant dermatitis, seborrhec dermatitis, localized psoriasis or Tina infection. Difficult to say. Apply moisturizing cream on lip twice a day. Apply steroid with antifungal cream on rash twice a day. Take antihistamines if you get itching. Avoid soap bath. Do alone shampoo to cleanse the scalp. Avoid sun exposure. You consult Chat Doctor. . Ok"
